userId,ItemId
6219,77635299
6220,77635299
6221,77635299
6221,77635299
6223,77635299
6225,77635299
6227,77635299
6228,77635299
6231,77635299
6233,77635299
6234,77635299
6235,77635299
6239,77635299
6240,77635299
6241,77635299
6242,77635299
6243,77635299
6245,77635299
6246,77635299
6248,77635299
6249,77635299
6251,77635299
6252,77635299
6252,77635299
6254,77635299
6255,77635299
6256,77635299
6257,77635299
6297,77635299
6298,77635299
6299,77635299
6300,77635299
6301,77635299
6302,77635299
6303,77635299
6304,77635299
6305,77635299
6306,77635299
6307,77635299
6309,77635299
6310,77635299
6311,77635299
6312,77635299
6314,77635299
6315,77635299
6316,77635299
6317,77635299
6318,77635299
6319,77635299
6320,77635299
6321,77635299
6321,77635299
6322,77635299
6323,77635299
6323,77635299
6325,77635299
6326,77635299
6327,77635299
6328,77635299
6329,77635299
6330,77635299
6331,77635299
6332,77635299
6333,77635299
6334,77635299
6335,77635299
6337,77635299
6337,77635299
6338,77635299
6339,77635299
6340,77635299
6341,77635299
6342,77635299
6343,77635299
6345,77635299
6345,77635299
6346,77635299
6347,77635299
6348,77635299
6350,77635299
6351,77635299
6352,77635299
6353,77635299
6354,77635299
6356,77635299
6359,77635299
6360,77635299
6362,77635299
6364,77635299
6365,77635299
6367,77635299
6368,77635299
6369,77635299
6371,77635299
6371,77635299
6373,77635299
6373,77635299
6374,77635299
6374,77635299
6374,77635299
6375,77635299
6375,77635299
6376,77635299
6377,77635299
6378,77635299
6379,77635299
6379,77635299
6379,77635299
6380,77635299
6381,77635299
6382,77635299
6382,77635299
6383,77635299
6385,77635299
6385,77635299
6386,77635299
6387,77635299
6387,77635299
6388,77635299
6389,77635299
6391,77635299
6219,77635300
6244,77635300
6244,77635301
6219,77635303
6221,77635303
6222,77635303
6223,77635303
6224,77635303
6225,77635303
6226,77635303
6227,77635303
6228,77635303
6230,77635303
6231,77635303
6232,77635303
6233,77635303
6234,77635303
6245,77635303
6343,77635303
6344,77635303
6347,77635303
6349,77635303
6350,77635303
6351,77635303
6352,77635303
6353,77635303
6354,77635303
6355,77635303
6356,77635303
6357,77635303
6358,77635303
6360,77635303
6368,77635303
6369,77635303
6372,77635303
6373,77635303
6374,77635303
6375,77635303
6376,77635303
6377,77635303
6378,77635303
6379,77635303
6380,77635303
6381,77635303
6382,77635303
6383,77635303
6384,77635303
6385,77635303
6386,77635303
6387,77635303
6388,77635303
6389,77635303
6391,77635303
6220,77635304
6245,77635305
6245,77635306
6220,77635307
6245,77635307
6220,77635308
6245,77635308
6220,77635309
6245,77635309
6221,77635310
6245,77635310
6246,77635311
6246,77635312
6246,77635313
6221,77635314
6246,77635314
6221,77635342
6246,77635342
6267,77635342
6269,77635342
6272,77635342
6276,77635342
6278,77635342
6281,77635342
6284,77635342
6287,77635342
6290,77635342
6292,77635342
6296,77635342
6298,77635342
6301,77635342
6304,77635342
6307,77635342
6311,77635342
6314,77635342
6318,77635342
6320,77635342
6325,77635342
6329,77635342
6332,77635342
6335,77635342
6339,77635342
6342,77635342
6344,77635342
6348,77635342
6354,77635342
6357,77635342
6360,77635342
6368,77635342
6371,77635342
6374,77635342
6376,77635342
6380,77635342
6383,77635342
6386,77635342
6388,77635342
6391,77635342
6267,77635316
6270,77635316
6272,77635342
6276,77635342
6278,77635342
6281,77635342
6284,77635342
6287,77635342
6290,77635342
6293,77635342
6297,77635342
6299,77635342
6302,77635342
6304,77635342
6308,77635342
6311,77635342
6315,77635342
6318,77635342
6321,77635342
6325,77635342
6329,77635342
6332,77635342
6335,77635342
6339,77635316
6342,77635316
6348,77635316
6351,77635316
6354,77635316
6361,77635316
6365,77635316
6368,77635316
6374,77635316
6377,77635316
6380,77635316
6386,77635316
6388,77635316
6391,77635316
6221,77635317
6247,77635317
6267,77635317
6270,77635342
6272,77635342
6276,77635342
6279,77635342
6282,77635342
6284,77635342
6288,77635342
6290,77635342
6293,77635317
6297,77635317
6305,77635317
6308,77635317
6315,77635317
6318,77635317
6325,77635317
6329,77635317
6332,77635317
6336,77635317
6342,77635342
6345,77635342
6352,77635342
6357,77635342
6361,77635342
6365,77635317
6380,77635317
6384,77635317
6386,77635317
6388,77635317
6221,77635318
6247,77635318
6267,77635318
6270,77635342
6270,77635342
6272,77635342
6273,77635342
6276,77635342
6277,77635342
6279,77635342
6279,77635342
6282,77635342
6283,77635318
6284,77635318
6285,77635318
6288,77635318
6288,77635318
6290,77635318
6291,77635318
6293,77635318
6293,77635318
6297,77635318
6297,77635318
6299,77635318
6302,77635318
6302,77635318
6305,77635318
6305,77635318
6308,77635318
6309,77635318
6311,77635318
6315,77635318
6315,77635318
6318,77635318
6321,77635318
6321,77635318
6326,77635318
6329,77635342
6330,77635342
6333,77635342
6333,77635342
6336,77635342
6337,77635318
6339,77635318
6340,77635318
6342,77635318
6343,77635318
6349,77635318
6349,77635318
6352,77635318
6352,77635318
6354,77635318
6355,77635318
6357,77635318
6358,77635318
6361,77635318
6362,77635318
6366,77635318
6368,77635318
6369,77635318
6372,77635342
6373,77635342
6377,77635342
6378,77635342
6381,77635342
6384,77635342
6386,77635342
6386,77635342
6388,77635318
6391,77635318
6221,77635320
6247,77635320
6267,77635320
6270,77635320
6271,77635320
6272,77635320
6273,77635320
6277,77635320
6277,77635320
6279,77635320
6280,77635320
6283,77635320
6283,77635320
6284,77635342
6285,77635342
6288,77635342
6288,77635342
6291,77635342
6291,77635342
6293,77635342
6293,77635320
6297,77635320
6298,77635320
6300,77635320
6301,77635320
6302,77635320
6302,77635320
6305,77635320
6305,77635320
6309,77635320
6311,77635342
6312,77635342
6315,77635342
6316,77635342
6318,77635342
6319,77635342
6327,77635342
6330,77635342
6330,77635342
6333,77635320
6337,77635320
6337,77635320
6340,77635320
6343,77635320
6343,77635320
